,location,total_sqft,bath,price,bhk
84,6th phase jp nagar,1460.0,2.0,80.0,2
85,6th phase jp nagar,2003.0,3.0,200.0,3
86,6th phase jp nagar,1810.0,3.0,131.0,3
87,6th phase jp nagar,1515.0,2.0,135.0,3
88,6th phase jp nagar,1192.0,2.0,75.0,2
89,6th phase jp nagar,1280.0,2.0,88.0,2
90,7th phase jp nagar,1080.0,2.0,72.0,2
91,7th phase jp nagar,1270.0,2.0,93.0,2
92,7th phase jp nagar,1420.0,2.0,100.0,3
93,7th phase jp nagar,1850.0,3.0,150.0,3
94,7th phase jp nagar,1245.0,2.0,94.0,2
95,7th phase jp nagar,1175.0,2.0,82.0,2
96,7th phase jp nagar,1400.0,2.0,95.0,3
97,7th phase jp nagar,2225.0,3.0,160.0,3
98,7th phase jp nagar,1050.0,2.0,71.0,2
99,7th phase jp nagar,1100.0,2.0,46.0,2
100,7th phase jp nagar,918.0,2.0,50.49,2
101,7th phase jp nagar,1450.0,2.0,100.0,3
102,7th phase jp nagar,1190.0,2.0,49.98,2
103,7th phase jp nagar,1420.0,2.0,96.0,3
104,7th phase jp nagar,1680.0,3.0,120.0,3
105,7th phase jp nagar,980.0,2.0,69.0,2
106,7th phase jp nagar,1180.0,2.0,72.0,2
110,7th phase jp nagar,1400.0,3.0,115.0,3
111,7th phase jp nagar,1270.0,2.0,83.0,2
113,7th phase jp nagar,2503.0,4.0,188.0,4
114,7th phase jp nagar,2200.0,3.0,190.0,3
117,7th phase jp nagar,1575.0,2.0,110.0,3
118,7th phase jp nagar,1850.0,3.0,140.0,3
119,7th phase jp nagar,1575.0,2.0,120.0,3
120,7th phase jp nagar,1850.0,3.0,150.0,3
121,7th phase jp nagar,1680.0,3.0,120.0,3
122,7th phase jp nagar,1175.0,2.0,82.5,2
125,7th phase jp nagar,1215.0,2.0,90.0,2
126,7th phase jp nagar,1050.0,2.0,75.0,2
127,7th phase jp nagar,1300.0,3.0,89.13,3
128,7th phase jp nagar,1130.0,2.0,73.0,2
129,7th phase jp nagar,1450.0,3.0,100.0,3
131,7th phase jp nagar,1050.0,2.0,50.0,2
132,7th phase jp nagar,1275.0,2.0,87.0,2
134,7th phase jp nagar,1650.0,3.0,110.0,3
135,7th phase jp nagar,850.0,2.0,42.0,2
136,7th phase jp nagar,1680.0,3.0,117.0,3
137,7th phase jp nagar,1850.0,3.0,150.0,3
138,7th phase jp nagar,1236.0,2.0,61.33,2
139,7th phase jp nagar,1000.0,2.0,53.0,2
140,7th phase jp nagar,1680.0,3.0,125.0,3
141,7th phase jp nagar,1675.0,2.0,135.0,3
142,7th phase jp nagar,1187.0,2.0,59.0,2
143,7th phase jp nagar,1850.0,3.0,155.0,3
144,7th phase jp nagar,1000.0,2.0,61.0,2
145,7th phase jp nagar,1460.0,2.0,100.0,3
146,7th phase jp nagar,1650.0,3.0,110.0,3
147,7th phase jp nagar,1200.0,2.0,62.5,2
148,7th phase jp nagar,1000.0,2.0,70.65,2
149,7th phase jp nagar,1080.0,2.0,75.0,2
151,7th phase jp nagar,1680.0,3.0,125.0,3
152,7th phase jp nagar,1460.0,2.0,97.0,3
153,7th phase jp nagar,1120.0,2.0,65.0,2
154,7th phase jp nagar,1100.0,3.0,60.0,2
155,7th phase jp nagar,1790.0,3.0,120.0,3
156,7th phase jp nagar,1680.0,3.0,117.0,3
157,7th phase jp nagar,1050.0,2.0,77.0,2
158,7th phase jp nagar,1050.0,2.0,75.0,2
159,7th phase jp nagar,1040.0,2.0,75.0,2
160,7th phase jp nagar,1400.0,2.0,95.0,3
161,7th phase jp nagar,1800.0,3.0,130.0,3
162,7th phase jp nagar,1050.0,2.0,68.0,2
163,7th phase jp nagar,1000.0,2.0,60.0,2
164,7th phase jp nagar,1680.0,3.0,125.0,3
165,7th phase jp nagar,1050.0,2.0,77.47,2
166,7th phase jp nagar,1270.0,2.0,80.0,2
168,7th phase jp nagar,1680.0,3.0,122.0,3
169,7th phase jp nagar,1130.0,2.0,85.0,2
170,7th phase jp nagar,1680.0,3.0,130.0,3
171,7th phase jp nagar,980.0,2.0,77.44,2
172,7th phase jp nagar,1680.0,3.0,112.0,3
174,7th phase jp nagar,2095.0,3.0,150.0,3
175,7th phase jp nagar,1976.0,3.0,145.0,3
176,7th phase jp nagar,1600.0,2.0,110.0,3
177,7th phase jp nagar,1765.0,3.0,118.0,3
178,7th phase jp nagar,1275.0,2.0,88.0,3
179,7th phase jp nagar,1450.0,2.0,102.0,3
180,7th phase jp nagar,1575.0,2.0,110.0,3
182,7th phase jp nagar,750.0,1.0,47.0,1
183,7th phase jp nagar,990.0,2.0,50.0,2
184,7th phase jp nagar,1000.0,1.0,60.0,1
186,7th phase jp nagar,1430.0,2.0,102.0,3
187,7th phase jp nagar,1128.0,2.0,60.0,2
188,7th phase jp nagar,1140.0,2.0,57.0,2
189,7th phase jp nagar,1420.0,3.0,90.0,3
190,7th phase jp nagar,1530.0,2.0,108.0,2
191,8th phase jp nagar,1073.5,2.0,54.005,2
192,8th phase jp nagar,451.0,1.0,29.9,1
194,8th phase jp nagar,1062.0,2.0,42.47,2
196,8th phase jp nagar,1455.0,3.0,73.31,3
197,8th phase jp nagar,871.0,2.0,55.0,2
198,8th phase jp nagar,1098.0,2.0,43.91,2
199,8th phase jp nagar,1800.0,3.0,80.0,3
200,8th phase jp nagar,2700.0,4.0,130.0,4
201,8th phase jp nagar,1080.0,2.0,38.0,2
202,8th phase jp nagar,1059.0,2.0,34.5,2
203,8th phase jp nagar,1080.0,2.0,35.0,2
205,8th phase jp nagar,1062.0,2.0,42.47,2
206,8th phase jp nagar,500.0,1.0,31.0,1
207,8th phase jp nagar,1100.0,2.0,35.0,2
208,8th phase jp nagar,2100.0,4.0,92.0,4
209,8th phase jp nagar,1035.0,2.0,39.33,2
210,8th phase jp nagar,909.0,2.0,40.9,2
211,8th phase jp nagar,1431.5,3.0,72.02,3
212,8th phase jp nagar,1900.0,4.0,90.0,3
213,8th phase jp nagar,500.0,1.0,30.0,1
214,8th phase jp nagar,1125.0,2.0,36.94,2
215,8th phase jp nagar,1100.0,2.0,35.0,2
216,8th phase jp nagar,1089.0,2.0,43.55,2
218,8th phase jp nagar,1504.0,2.0,83.0,3
219,8th phase jp nagar,2600.0,4.0,115.0,4
221,8th phase jp nagar,1089.0,2.0,43.55,2
223,8th phase jp nagar,1513.0,2.0,62.0,2
224,8th phase jp nagar,1298.0,2.0,59.0,2
225,8th phase jp nagar,1006.0,2.0,44.0,2
226,8th phase jp nagar,500.0,1.0,33.0,1
227,8th phase jp nagar,1160.0,2.0,95.0,2
228,8th phase jp nagar,1245.0,2.0,59.0,2
229,8th phase jp nagar,1510.0,2.0,80.0,2
230,8th phase jp nagar,3300.0,3.0,165.0,3
231,8th phase jp nagar,1730.0,5.0,75.0,5
234,8th phase jp nagar,1046.0,2.0,48.0,2
236,8th phase jp nagar,1408.0,3.0,80.0,3
238,9th phase jp nagar,1005.0,2.0,50.0,2
240,9th phase jp nagar,1100.0,2.0,65.0,2
241,9th phase jp nagar,1080.0,2.0,37.0,2
242,9th phase jp nagar,1035.0,2.0,45.0,2
243,9th phase jp nagar,5000.0,4.0,290.0,4
244,9th phase jp nagar,1164.0,2.0,56.0,2
245,9th phase jp nagar,1005.0,2.0,42.0,2
246,9th phase jp nagar,1127.0,2.0,50.0,2
247,9th phase jp nagar,1005.0,2.0,43.0,2
248,9th phase jp nagar,835.0,2.0,37.0,2
249,9th phase jp nagar,1050.0,2.0,39.0,2
250,9th phase jp nagar,660.0,2.0,27.0,2
251,9th phase jp nagar,600.0,1.0,20.0,1
252,9th phase jp nagar,1466.0,2.0,71.0,2
253,9th phase jp nagar,1890.0,2.0,93.0,3
254,9th phase jp nagar,1079.0,2.0,60.0,2
255,9th phase jp nagar,1480.0,2.0,80.0,2
256,9th phase jp nagar,1200.0,2.0,80.0,2
257,9th phase jp nagar,905.0,2.0,32.0,2
258,9th phase jp nagar,1073.0,2.0,52.36,2
259,9th phase jp nagar,1719.3,2.0,88.0,3
260,9th phase jp nagar,1780.0,3.0,88.0,3
262,9th phase jp nagar,1522.0,3.0,90.0,3
265,9th phase jp nagar,890.0,2.0,45.0,2
267,9th phase jp nagar,5000.0,4.0,300.0,4
269,9th phase jp nagar,1050.0,2.0,35.0,2
270,9th phase jp nagar,1331.95,2.0,69.0,2
271,abbigere,985.0,2.0,40.39,2
272,abbigere,2200.0,6.0,68.0,6
273,abbigere,765.0,2.0,30.0,1
274,abbigere,880.0,2.0,35.0,2
275,abbigere,795.0,2.0,32.54,2
276,abbigere,1005.0,2.0,39.59,2
277,abbigere,734.0,1.0,19.82,1
279,abbigere,1020.0,2.0,41.82,2
282,abbigere,985.0,2.0,40.39,2
283,abbigere,2500.0,6.0,81.0,6
284,abbigere,795.0,2.0,32.54,2
285,abbigere,1130.0,2.0,46.33,2
286,abbigere,795.0,1.0,32.6,2
287,abbigere,3000.0,8.0,150.0,8
288,abbigere,985.0,2.0,38.92,2
289,abbigere,1000.0,2.0,41.0,2
290,abbigere,995.0,2.0,40.8,2
291,abbigere,1020.0,2.0,40.8,2
292,aecs layout,1100.0,2.0,45.0,2
293,aecs layout,1028.0,2.0,42.0,2
294,aecs layout,1199.0,2.0,65.0,2
295,aecs layout,1080.0,2.0,55.0,2
296,aecs layout,1123.0,2.0,64.0,2
297,aecs layout,1308.0,2.0,60.0,2
298,aecs layout,1005.0,2.0,55.0,2
300,akshaya nagar,1388.0,2.0,57.0,2
301,akshaya nagar,1070.0,2.0,54.0,2
302,akshaya nagar,1280.0,2.0,58.0,2
303,akshaya nagar,1662.0,3.0,85.1,3
304,akshaya nagar,1897.0,3.0,120.0,3
305,akshaya nagar,1410.0,2.0,75.0,3
306,akshaya nagar,1360.0,2.0,85.0,3
308,akshaya nagar,1410.0,2.0,80.0,3
309,akshaya nagar,1662.0,3.0,85.0,3
310,akshaya nagar,1662.0,3.0,85.5,3
311,akshaya nagar,1280.0,2.0,60.0,2
312,akshaya nagar,1666.0,3.0,95.0,3
313,akshaya nagar,1575.0,3.0,90.0,3
314,akshaya nagar,1430.0,2.0,75.0,3
315,akshaya nagar,1419.0,2.0,73.0,3
316,akshaya nagar,1280.0,2.0,60.0,2
317,akshaya nagar,1200.0,2.0,50.0,2
318,akshaya nagar,1092.0,2.0,60.0,2
319,akshaya nagar,1690.0,3.0,85.0,3
321,akshaya nagar,1897.0,4.0,93.0,3
322,akshaya nagar,1884.0,3.0,98.0,3
323,akshaya nagar,1314.0,2.0,68.8,2
324,akshaya nagar,1690.0,3.0,85.0,3
325,akshaya nagar,1265.0,2.0,67.0,2
326,akshaya nagar,1126.0,2.0,55.0,2
328,akshaya nagar,1662.0,3.0,90.0,3
329,akshaya nagar,1420.0,2.0,75.0,3
330,akshaya nagar,1412.0,2.0,88.0,3
331,akshaya nagar,1434.0,3.0,84.0,3
332,akshaya nagar,1890.0,4.0,100.0,3
334,akshaya nagar,1419.0,2.0,87.0,3
335,akshaya nagar,1300.0,2.0,54.0,2
336,akshaya nagar,1690.0,3.0,85.0,3
337,akshaya nagar,1113.0,2.0,52.0,2
338,akshaya nagar,1820.0,4.0,95.0,3
339,akshaya nagar,1100.0,2.0,48.0,2
340,akshaya nagar,1896.0,3.0,102.0,3
341,akshaya nagar,1300.0,2.0,66.0,2
342,akshaya nagar,1225.0,2.0,68.0,2
343,akshaya nagar,1179.0,2.0,51.0,2
344,akshaya nagar,1421.0,2.0,73.0,3
345,akshaya nagar,1893.0,4.0,95.0,3
346,akshaya nagar,900.0,2.0,45.0,2
347,ambalipura,1105.0,2.0,75.0,2
348,ambalipura,1800.0,3.0,110.0,3
349,ambalipura,1150.0,2.0,80.0,2
350,ambalipura,1250.0,2.0,66.25,2
351,ambalipura,1332.0,2.0,79.0,2
352,ambalipura,1730.0,3.0,120.0,3
354,ambalipura,1230.0,2.0,66.25,2
355,ambalipura,1351.0,2.0,77.0,2
359,ambalipura,1303.0,2.0,80.0,2
360,ambalipura,1607.0,2.0,112.0,3
361,ambalipura,770.0,1.0,43.82,1
362,ambalipura,1700.0,2.0,76.0,2
363,ambalipura,1060.0,2.0,58.5,2
364,ambalipura,1650.0,3.0,100.0,3
365,ambalipura,1607.0,2.0,112.0,3
366,ambalipura,1198.0,2.0,80.0,2
367,ambedkar nagar,1935.0,4.0,130.0,3
368,ambedkar nagar,1424.0,2.0,90.0,2
369,ambedkar nagar,2225.0,4.0,169.0,3
370,ambedkar nagar,1862.0,3.0,120.0,3
371,ambedkar nagar,1850.0,4.0,139.0,3
372,ambedkar nagar,1936.0,4.0,126.0,3
373,ambedkar nagar,1862.0,3.0,119.0,3
374,ambedkar nagar,1424.0,2.0,90.0,2
375,ambedkar nagar,2150.0,4.0,125.0,3
376,ambedkar nagar,3530.0,4.0,290.0,4
377,ambedkar nagar,1856.0,3.0,120.0,3
378,ambedkar nagar,1852.0,3.0,130.0,3
379,ambedkar nagar,1850.0,4.0,120.0,3
380,ambedkar nagar,1367.0,2.0,86.0,2
381,ambedkar nagar,3565.0,4.0,255.0,4
382,ambedkar nagar,1409.0,2.0,95.0,2
383,ambedkar nagar,1950.0,4.0,120.0,3
384,ambedkar nagar,1921.0,4.0,129.0,3
385,ambedkar nagar,1920.0,4.0,121.0,3
386,ambedkar nagar,1935.0,4.0,125.0,3
387,ambedkar nagar,1852.0,4.0,122.0,3
388,ambedkar nagar,1950.0,4.0,120.0,3
389,ambedkar nagar,1852.0,3.0,125.0,3
390,ambedkar nagar,1850.0,4.0,121.0,3
391,ambedkar nagar,1425.0,2.0,94.0,2
392,ambedkar nagar,2395.0,4.0,150.0,3
393,amruthahalli,900.0,2.0,40.0,2
394,amruthahalli,1200.0,2.0,55.0,2
395,amruthahalli,1900.0,3.0,135.0,3
396,amruthahalli,924.0,2.0,45.0,2
397,amruthahalli,900.0,2.0,60.0,2
398,amruthahalli,1100.0,2.0,45.0,2
399,amruthahalli,1200.0,2.0,55.0,2
403,amruthahalli,1450.0,2.0,85.0,3
404,amruthahalli,1200.0,2.0,55.0,2
405,amruthahalli,1250.0,2.0,79.0,2
406,amruthahalli,1190.0,2.0,50.0,2
407,amruthahalli,1202.0,2.0,65.0,2
408,amruthahalli,1340.0,2.0,75.0,2
409,amruthahalli,2650.0,4.0,175.0,3
410,amruthahalli,1450.0,2.0,90.0,3
411,amruthahalli,1025.0,2.0,42.0,2
412,amruthahalli,485.0,1.0,19.5,1
413,anandapura,1167.0,2.0,43.76,2
414,anandapura,1000.0,2.0,55.0,2
415,anandapura,1141.0,2.0,42.79,2
417,anandapura,1200.0,2.0,67.0,2
418,anandapura,1200.0,2.0,58.0,2
419,anandapura,1151.0,2.0,43.1,2
420,anandapura,1141.0,2.0,42.75,2
421,anandapura,900.0,2.0,48.0,2
422,anandapura,1749.0,4.0,90.0,4
423,anandapura,1151.0,2.0,42.9,2
425,anandapura,1250.0,2.0,45.0,2
426,anandapura,1151.0,2.0,43.16,2
427,anandapura,1200.0,2.0,58.0,2
428,anandapura,1200.0,2.0,66.0,3
429,anandapura,1415.0,2.0,74.0,3
430,anandapura,1200.0,2.0,50.0,2
431,anandapura,1141.0,2.0,50.0,2
433,ananth nagar,500.0,1.0,14.0,1
434,ananth nagar,1100.0,2.0,31.5,2
435,ananth nagar,982.0,2.0,24.55,2
436,ananth nagar,500.0,2.0,14.0,1
437,ananth nagar,900.0,2.0,22.5,2
438,ananth nagar,908.0,2.0,26.0,2
439,ananth nagar,870.0,2.0,36.0,2
440,ananth nagar,937.0,2.0,35.0,2
441,ananth nagar,960.0,2.0,37.0,2
442,ananth nagar,500.0,1.0,14.0,1
443,ananth nagar,1000.0,2.0,29.7,2
444,ananth nagar,850.0,2.0,25.99,2
445,ananth nagar,902.0,2.0,25.26,2
446,ananth nagar,1470.0,3.0,54.0,3
447,ananth nagar,810.0,2.0,25.5,2
448,ananth nagar,890.0,2.0,27.0,2
449,ananth nagar,1200.0,2.0,36.0,2
451,ananth nagar,1319.0,3.0,42.0,3
452,ananth nagar,1000.0,2.0,25.0,2
453,ananth nagar,902.0,2.0,25.0,2
454,ananth nagar,930.0,2.0,25.99,2
455,ananth nagar,1074.0,2.0,26.85,2
456,ananth nagar,500.0,1.0,14.0,1
457,ananth nagar,1010.0,2.0,38.0,2
458,ananth nagar,992.0,2.0,24.8,2
460,anekal,656.0,2.0,22.0,2
461,anekal,620.0,2.0,22.0,2
462,anekal,600.0,1.0,16.5,1
463,anekal,925.0,2.0,40.0,2
464,anekal,530.0,1.0,18.0,1
465,anekal,1800.0,3.0,68.0,3
467,anekal,351.0,1.0,16.0,1
468,anekal,1035.0,2.0,38.3,2
469,anekal,888.0,2.0,34.0,2
473,anekal,1200.0,2.0,36.0,4
474,anekal,766.0,2.0,28.0,2
475,anekal,967.0,2.0,45.0,3
476,anekal,620.0,1.0,23.5,2
477,anekal,1150.0,3.0,45.0,3
480,anekal,400.0,1.0,11.5,1
481,anekal,456.0,1.0,15.0,1
484,anekal,2400.0,4.0,95.0,3
488,anekal,420.0,1.0,12.5,1
489,anekal,614.0,1.0,28.0,2
490,anekal,1140.0,2.0,52.0,2
491,anekal,625.0,1.0,25.0,2
492,anjanapura,1850.0,4.0,86.0,4
493,anjanapura,1070.0,2.0,39.0,2
494,anjanapura,1500.0,3.0,121.0,3
495,anjanapura,1070.0,2.0,37.0,2
496,anjanapura,950.0,2.0,40.0,2
497,anjanapura,1280.0,2.0,45.0,3
498,anjanapura,710.0,2.0,25.0,2
500,anjanapura,950.0,2.0,32.0,2
501,anjanapura,1800.0,4.0,55.0,4
502,anjanapura,1843.0,3.0,87.54,3
503,anjanapura,1076.0,2.0,30.13,2
504,anjanapura,950.0,2.0,30.0,2
505,ardendale,1750.0,3.0,100.0,3
506,ardendale,3198.0,4.0,200.0,4
507,ardendale,2422.0,4.0,160.0,4
508,ardendale,1750.0,3.0,100.0,3
509,ardendale,3200.0,4.0,205.0,4
510,ardendale,1728.0,3.0,95.0,3
511,ardendale,2062.0,3.0,140.0,4
512,ardendale,1732.46,3.0,92.0,3
513,ardendale,2062.0,3.0,150.0,4
515,ardendale,1224.0,2.0,70.0,2
516,ardendale,1777.26,3.0,105.0,3
517,ardendale,1650.0,3.0,82.0,3
518,ardendale,2062.0,3.0,140.0,4
519,ardendale,1650.0,3.0,82.0,3
520,ardendale,1224.0,2.0,67.0,2
521,ardendale,1723.0,3.0,95.0,3
522,ardendale,1777.26,3.0,89.0,3
523,ardendale,1777.26,3.0,92.0,3
524,arekere,2060.0,3.0,140.0,3
525,arekere,920.0,2.0,40.0,2
526,arekere,1740.0,2.0,95.0,3
527,arekere,1190.0,2.0,55.0,2
528,arekere,600.0,1.0,28.0,1
529,arekere,2072.0,3.0,108.0,3
530,arekere,1100.0,2.0,55.0,2
531,arekere,900.0,2.0,50.0,2
532,arekere,2710.0,6.0,142.0,4
533,arekere,1240.0,2.0,60.0,2
534,arekere,900.0,2.0,44.5,2
535,attibele,450.0,1.0,11.0,1
536,attibele,1600.0,4.0,52.8,4
537,attibele,656.0,2.0,25.0,2
538,attibele,400.0,1.0,11.0,1
539,attibele,400.0,1.0,12.0,1
540,attibele,400.0,1.0,14.0,1
541,attibele,500.0,1.0,17.0,1
542,attibele,2168.0,4.0,95.0,4
543,attibele,395.0,1.0,10.25,1
544,attibele,420.0,1.0,17.0,1
546,attibele,418.0,1.0,12.0,1
547,attibele,1200.0,2.0,42.0,2
548,attibele,400.0,1.0,10.0,1
549,attibele,695.0,1.0,25.0,2
550,attibele,850.0,1.0,25.0,2
551,attibele,2400.0,3.0,120.0,3
552,attibele,450.0,1.0,12.5,1
556,attibele,782.0,1.0,19.55,1
558,attibele,656.0,2.0,25.0,2
559,attibele,400.0,1.0,11.5,1
560,attibele,460.0,1.0,13.0,1
561,attibele,418.0,2.0,11.5,1
562,attibele,1000.0,2.0,42.0,2
563,attibele,550.0,1.0,11.5,1
565,attibele,410.0,1.0,10.0,1
566,attibele,1700.0,3.0,65.0,3
567,attibele,400.0,1.0,10.25,1
568,attibele,656.0,2.0,25.0,2
569,attibele,1500.0,3.0,90.0,3
570,attibele,520.0,1.0,15.0,1
573,babusapalaya,1611.0,2.0,66.0,3
575,babusapalaya,1675.0,3.0,75.0,3
576,babusapalaya,1141.0,2.0,46.0,2
577,babusapalaya,1500.0,2.0,57.0,2
579,babusapalaya,1050.0,2.0,45.0,2
580,babusapalaya,1141.0,2.0,45.9,2
582,babusapalaya,1230.0,3.0,53.0,3
583,babusapalaya,1105.0,2.0,40.0,2
584,babusapalaya,1410.0,2.0,65.0,3
585,babusapalaya,1450.0,2.0,55.99,2
586,babusapalaya,1100.0,2.0,38.0,2
588,babusapalaya,1061.0,2.0,33.84,2
589,babusapalaya,1061.0,2.0,38.95,2
590,babusapalaya,1061.0,2.0,34.0,2
591,babusapalaya,1245.0,2.0,58.0,2
592,badavala nagar,1494.0,2.0,94.55,3
593,badavala nagar,1274.0,2.0,81.0,2
594,badavala nagar,1842.0,3.0,115.0,3
595,badavala nagar,1494.0,2.0,94.55,3
596,badavala nagar,1274.0,2.0,81.0,2
597,badavala nagar,1494.0,2.0,94.55,3
598,badavala nagar,1842.0,3.0,115.0,3
599,badavala nagar,1842.0,3.0,115.0,3
600,badavala nagar,1842.0,3.0,115.0,3
601,balagere,1210.0,2.0,80.9,2
602,balagere,1210.0,2.0,72.0,2
603,balagere,1205.0,2.0,78.5,2
604,balagere,790.5,1.0,41.9,1
607,balagere,1020.07,2.0,68.38,2
608,balagere,1205.47,2.0,81.0,2
609,balagere,1007.0,2.0,65.0,2
611,balagere,1210.0,2.0,74.0,2
612,balagere,1210.0,2.0,83.0,2
613,balagere,675.0,1.0,45.0,1
614,balagere,656.0,1.0,43.0,1
616,balagere,1012.0,2.0,64.0,2
617,balagere,1007.0,2.0,62.0,2
618,balagere,1007.0,2.0,67.0,2
619,balagere,1007.0,2.0,66.0,2
622,balagere,645.0,1.0,34.18,1
625,balagere,790.5,1.0,42.295,1
626,balagere,1012.0,2.0,65.0,2
627,balagere,656.0,1.0,38.77,1
628,balagere,645.0,1.0,39.0,1
629,balagere,645.0,1.0,41.0,1
630,balagere,1210.0,2.0,82.0,2
631,balagere,656.0,1.0,34.77,1
632,balagere,1205.0,2.0,73.87,2
633,balagere,1012.0,2.0,70.0,2
634,balagere,1007.0,2.0,68.0,2
636,balagere,1205.0,2.0,79.0,2
637,balagere,1012.0,2.0,68.0,2
639,banashankari,1077.0,2.0,37.64,2
640,banashankari,1470.0,2.0,88.64,3
641,banashankari,1300.0,2.0,75.0,3
642,banashankari,1800.0,3.0,115.0,3
643,banashankari,1125.0,2.0,63.0,2
645,banashankari,1310.0,2.0,80.0,2
646,banashankari,2600.0,4.0,135.0,3
647,banashankari,1900.0,2.0,170.0,3
648,banashankari,1260.0,2.0,75.0,2
649,banashankari,1170.0,2.0,46.79,2
651,banashankari,1350.0,2.0,83.0,3
653,banashankari,1330.0,2.0,78.0,2
654,banashankari,1400.0,2.0,78.0,3
655,banashankari,1700.0,3.0,125.0,3
656,banashankari,1020.0,2.0,40.79,2
657,banashankari,1600.0,2.0,63.98,2
658,banashankari,1041.0,2.0,36.44,2
659,banashankari,2400.0,1.0,200.0,1
660,banashankari,1390.0,2.0,86.0,2
661,banashankari,1460.0,2.0,70.0,2
662,banashankari,1200.0,2.0,60.0,2
663,banashankari,1290.0,2.0,80.0,2
664,banashankari,2582.0,5.0,250.0,3
665,banashankari,1186.0,2.0,65.0,2
666,banashankari,1650.0,3.0,101.0,3
668,banashankari,1181.0,2.0,75.0,2
669,banashankari,1105.0,2.0,90.0,2
670,banashankari,720.0,1.0,60.0,1
